Zones,District,Development Regions,Tourist places,Places names,Details
Dhaualagiri,Baglung,West,2,"kalika Mandir,Dhorpatan Hunting Reserve","Location: Dhawalagiri Zone/ Western Development Region
Headquarter:  Baglung
Area: 1,784 km2
Locals: Chantyal, Newar, Brahmin, Gurung and Thakali
Language Spoken: Newari, Gurung, Thakali, Tibetan and Magar
Connectivity:
Rodayways: Distance from Kathamandu to Baglung =275 K.M
Gateway to Mustang, Jomsom"
Dhaualagiri,Mustang,West,5,"Muktinath,Dhaulagiri,kaligandaki river,annapurna conservation area,jomsom","Location: Dhawalagiri Zone/ Western Development Region
Headquarter:  Jomsom
Area: 3,573km2
Locals: Hindu, Buddhist
Language Spoken : Nepali
Connectivity:
Rodayways: Distance from Kathamandu to Baglung =340 K.M
Airpot: Jomsom Airpot
Gateway to Mustang
Attractions:
Natural Heritages
Dhaulagiri Himalayan Ranges
Cultural/Religious Heritages
Muktinath Templs
Special Cuisine:
Marpha Apple  Brandy
Other Attractions:
Magestic views of Himalayan Ranges
Adventure Options:
Trekking, Hiking
Best time to Travel:
October to December
April to February"
Dhaualagiri,Myagdi,West,3,"Ghorepani ,annapurna conservation area,Tatopani ",
Dhaualagiri,Parbat,West,3," Gupteshwar Cave,Patheshwari Temple, Kamadhenu Mandir",
Bagmati,Bhaktapur,Central,8,"Bhaktapur Durbar Square,Changu Narayan ,Siddha Pokhari,Nagarkot,Sanga Bhanjhyang,Taleju bhawani,Dattatreya Square,Tamaudi Square",
Bagmati,Dhading,Central,4,"Ganesh Himal ,Ruby Valley ,Trishuli River,Nalang",
Bagmati,Kathmandu,Central,11,"Pashipathnath,Swayambunath,Budanilkantha,kathmandu  durbar square,boudhanath stupa,Chandragiri hills,Shivapuri National park,Thamel,Kopan Monastery,Helambu,Dakshinkali Temple",
Bagmati,Kavrepalanchok,Central,4,"Dhulikhel,Chandeni Mandan,Panauti,Koshipari",
Bagmati,Lalitpur,Central,6,"Patan Durbar Square,Golden Temple,Ashoka Stupas, Bagalamukhi Temple,Central Zoo,Pim bahal Pokhari",
Bagmati,Nuwakot,Central,5,"Kakani,Nuwakot Palace ,Kashitar,Devighat,Trishuli River",
